Index,SortingAlgo,SortingType,DataType,DataSize,ExeTime
5,BubbleSortWhileNeeded,Ascending,DuplicateValues,100,0.001107000
6,BubbleSortWhileNeeded,Ascending,DuplicateValues,100,0.001088000
7,BubbleSortWhileNeeded,Ascending,DuplicateValues,100,0.001133000
8,BubbleSortWhileNeeded,Ascending,DuplicateValues,100,0.001171000
9,BubbleSortWhileNeeded,Ascending,DuplicateValues,100,0.001092000
10,BubbleSortWhileNeeded,Ascending,DuplicateValues,100,0.001145000
1,BubbleSortWhileNeeded,Ascending,Random,1000,15.534128000
2,BubbleSortWhileNeeded,Ascending,Random,1000,4.631086000
3,BubbleSortWhileNeeded,Ascending,Random,1000,1.808439000
4,BubbleSortWhileNeeded,Ascending,Random,1000,1.625739000
5,BubbleSortWhileNeeded,Ascending,Random,1000,1.784390000
6,BubbleSortWhileNeeded,Ascending,Random,1000,2.076158000
7,BubbleSortWhileNeeded,Ascending,Random,1000,1.606888000
8,BubbleSortWhileNeeded,Ascending,Random,1000,1.806778000
9,BubbleSortWhileNeeded,Ascending,Random,1000,2.048239000
10,BubbleSortWhileNeeded,Ascending,Random,1000,2.335017000
1,BubbleSortWhileNeeded,Ascending,Sorted,1000,0.003026000
2,BubbleSortWhileNeeded,Ascending,Sorted,1000,0.002454000
3,BubbleSortWhileNeeded,Ascending,Sorted,1000,0.002434000
4,BubbleSortWhileNeeded,Ascending,Sorted,1000,0.002405000
5,BubbleSortWhileNeeded,Ascending,Sorted,1000,0.002419000
6,BubbleSortWhileNeeded,Ascending,Sorted,1000,0.002648000
7,BubbleSortWhileNeeded,Ascending,Sorted,1000,0.002492000
8,BubbleSortWhileNeeded,Ascending,Sorted,1000,0.002466000
9,BubbleSortWhileNeeded,Ascending,Sorted,1000,0.002607000
10,BubbleSortWhileNeeded,Ascending,Sorted,1000,0.002566000
1,BubbleSortWhileNeeded,Ascending,ReverseSorted,1000,2.573869000
2,BubbleSortWhileNeeded,Ascending,ReverseSorted,1000,2.767015000
3,BubbleSortWhileNeeded,Ascending,ReverseSorted,1000,2.715298000
4,BubbleSortWhileNeeded,Ascending,ReverseSorted,1000,2.844929000
5,BubbleSortWhileNeeded,Ascending,ReverseSorted,1000,2.721028000
6,BubbleSortWhileNeeded,Ascending,ReverseSorted,1000,2.703857000
7,BubbleSortWhileNeeded,Ascending,ReverseSorted,1000,2.728159000
8,BubbleSortWhileNeeded,Ascending,ReverseSorted,1000,2.693458000
9,BubbleSortWhileNeeded,Ascending,ReverseSorted,1000,2.718533000
10,BubbleSortWhileNeeded,Ascending,ReverseSorted,1000,2.709658000
1,BubbleSortWhileNeeded,Ascending,PartiallySorted,1000,1.458030000
2,BubbleSortWhileNeeded,Ascending,PartiallySorted,1000,1.432235000
3,BubbleSortWhileNeeded,Ascending,PartiallySorted,1000,1.462536000
4,BubbleSortWhileNeeded,Ascending,PartiallySorted,1000,1.389730000
5,BubbleSortWhileNeeded,Ascending,PartiallySorted,1000,1.399626000
6,BubbleSortWhileNeeded,Ascending,PartiallySorted,1000,1.323046000
7,BubbleSortWhileNeeded,Ascending,PartiallySorted,1000,1.386434000
8,BubbleSortWhileNeeded,Ascending,PartiallySorted,1000,1.444601000
9,BubbleSortWhileNeeded,Ascending,PartiallySorted,1000,1.439085000
10,BubbleSortWhileNeeded,Ascending,PartiallySorted,1000,1.418658000
1,BubbleSortWhileNeeded,Ascending,DuplicateValues,1000,0.003640000
2,BubbleSortWhileNeeded,Ascending,DuplicateValues,1000,0.002952000
3,BubbleSortWhileNeeded,Ascending,DuplicateValues,1000,0.002902000
4,BubbleSortWhileNeeded,Ascending,DuplicateValues,1000,0.002970000
5,BubbleSortWhileNeeded,Ascending,DuplicateValues,1000,0.002899000
6,BubbleSortWhileNeeded,Ascending,DuplicateValues,1000,0.002905000
7,BubbleSortWhileNeeded,Ascending,DuplicateValues,1000,0.002898000
8,BubbleSortWhileNeeded,Ascending,DuplicateValues,1000,0.002916000
9,BubbleSortWhileNeeded,Ascending,DuplicateValues,1000,0.002969000
10,BubbleSortWhileNeeded,Ascending,DuplicateValues,1000,0.002906000
1,BubbleSortWhileNeeded,Ascending,Random,10000,254.540366000
2,BubbleSortWhileNeeded,Ascending,Random,10000,244.355450000
3,BubbleSortWhileNeeded,Ascending,Random,10000,240.917432000
4,BubbleSortWhileNeeded,Ascending,Random,10000,240.570286000
5,BubbleSortWhileNeeded,Ascending,Random,10000,236.074404000
6,BubbleSortWhileNeeded,Ascending,Random,10000,234.244327000
7,BubbleSortWhileNeeded,Ascending,Random,10000,311.454799000
8,BubbleSortWhileNeeded,Ascending,Random,10000,243.699751000
9,BubbleSortWhileNeeded,Ascending,Random,10000,244.325374000
10,BubbleSortWhileNeeded,Ascending,Random,10000,245.742726000
1,BubbleSortWhileNeeded,Ascending,Sorted,10000,0.022121000
2,BubbleSortWhileNeeded,Ascending,Sorted,10000,0.021181000
3,BubbleSortWhileNeeded,Ascending,Sorted,10000,0.021130000
4,BubbleSortWhileNeeded,Ascending,Sorted,10000,0.021066000
5,BubbleSortWhileNeeded,Ascending,Sorted,10000,0.020967000
6,BubbleSortWhileNeeded,Ascending,Sorted,10000,0.021155000
7,BubbleSortWhileNeeded,Ascending,Sorted,10000,0.021122000
8,BubbleSortWhileNeeded,Ascending,Sorted,10000,0.020931000
9,BubbleSortWhileNeeded,Ascending,Sorted,10000,0.021065000
10,BubbleSortWhileNeeded,Ascending,Sorted,10000,0.021074000
1,BubbleSortWhileNeeded,Ascending,ReverseSorted,10000,226.146166000
2,BubbleSortWhileNeeded,Ascending,ReverseSorted,10000,232.765747000
3,BubbleSortWhileNeeded,Ascending,ReverseSorted,10000,233.192179000
4,BubbleSortWhileNeeded,Ascending,ReverseSorted,10000,230.107188000
